Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
1nn,1000,rosenbrock_func,0.0,5.0,0.05403783714568552,482.7710896079637,91.61768296979915,88.01016871472432,0.08624458312988281
1nn,100000,rosenbrock_func,0.0,5.0,0.0009650004721174025,270.2381437492126,30.005348525848184,30.899185644890604,2.9047343730926514
1nn,10000,rosenbrock_func,0.0,5.0,0.054350729651566884,440.399397429449,51.16929395767509,53.944350845261454,0.3245728015899658
1nn,10000000,rosenbrock_func,0.0,5.0,2.655062654921639e-06,118.9788426467243,9.467315645683344,9.71005357848744,314.1025650501251
1nn,1000000,rosenbrock_func,0.0,5.0,6.98406602466617e-06,174.0001429015948,16.77720114021036,17.297999191901123,29.341497898101807
1nn,1000,sphere_func,0,0,0.0012230578759263703,0.2005866642297483,0.055901329273330067,0.0427772461681475,0.07434701919555664
1nn,100000,sphere_func,0,0,2.704269887583927e-06,0.10314968455022681,0.017024199944304194,0.013261415475612198,1.285135269165039
1nn,1000000,sphere_func,0,0,2.8332075031732183e-08,0.06115505431094762,0.009579221049407899,0.007399159559980335,16.38052225112915
1nn,10000000,sphere_func,0,0,2.160856400496708e-09,0.03918551358129215,0.00537758240281021,0.004139703122941979,152.44823217391968
1nn,10000,sphere_func,0,0,0.00013258898640334176,0.14854034262392524,0.03044516689319951,0.024335444830032693,0.17150044441223145
1nn,10000000,sphere_func,0.0,5.0,7.732012421410349e-08,0.24632034103209105,0.03843259385322677,0.029043002546797748,171.13095712661743
1nn,10000,sphere_func,0.0,5.0,2.591467072740066e-05,0.19654202600573714,0.04866081658187647,0.037195749572186076,0.20083951950073242
1nn,100000,sphere_func,0.0,5.0,2.312750475306869e-06,0.20649610821921766,0.042055490930611554,0.031686147818859,1.412973165512085
1nn,1000,sphere_func,0.0,5.0,0.0005193634031883121,0.31138425772389555,0.0675101370222467,0.056316736307577706,0.06319904327392578
1nn,1000000,sphere_func,0.0,5.0,1.7293317612735197e-07,0.22329000130422827,0.039276825218465226,0.02965072738816276,16.643707513809204
2nn,100000,rastrigin_func,0,0,3.755686762954447e-09,0.0002167522519436782,4.327282341379588e-05,3.1894923522299395e-05,2.6351447105407715
2nn,1000000,rastrigin_func,0,0,2.47821617657143e-10,0.00013799318139645893,2.5059039630293623e-05,1.8917048536130822e-05,24.69551134109497
2nn,10000,rastrigin_func,0,0,5.019385115845307e-08,0.00024349769917524975,5.898322381283447e-05,4.375029315394048e-05,0.35237574577331543
2nn,1000,rastrigin_func,0,0,1.6038377142475261e-06,0.00021187892655801896,5.994508362732097e-05,4.4831464933513704e-05,0.06585216522216797
2nn,10000000,rastrigin_func,0,0,2.545421929147473e-11,9.304362934901315e-05,1.3883945462146383e-05,1.072042414546704e-05,270.3669521808624
2nn,10000,rastrigin_func,0.0,5.0,1.0321600343140149e-07,0.00023601100169720794,5.8905812721839364e-05,4.387052088970184e-05,0.26291751861572266
2nn,100000,rastrigin_func,0.0,5.0,5.742697029469454e-09,0.00020896232603724476,4.495894999390806e-05,3.340655532296609e-05,2.5743749141693115
2nn,1000,rastrigin_func,0.0,5.0,2.80957607388237e-07,0.00021060634510885207,6.315001829313551e-05,4.4319547882064126e-05,0.0940852165222168
2nn,1000000,rastrigin_func,0.0,5.0,4.928125924312923e-10,0.00016113864139006198,2.7644299043996073e-05,2.0928634322360612e-05,24.679619312286377
2nn,10000000,rastrigin_func,0.0,5.0,4.9432777246002065e-11,0.00011787695582372501,1.8194764150692784e-05,1.3842580288878024e-05,271.9163317680359
2nn,10000000,rosenbrock_func,0,0,3.2349429720825804e-06,124.2752094069994,7.467911945268682,8.01070070671683,388.50533390045166
2nn,100000,rosenbrock_func,0,0,0.0009258038816536678,305.03763500189234,24.50146101686539,26.43445261534971,2.3778839111328125
2nn,1000000,rosenbrock_func,0,0,6.439628565574028e-05,181.01719396771276,13.462257308376849,14.552050843488809,31.04624366760254
2nn,10000,rosenbrock_func,0,0,0.02691871239864359,377.3322159923277,43.37237988492311,44.761813620409384,0.2928948402404785
2nn,1000,rosenbrock_func,0,0,0.21412852287711961,390.84087557753287,80.4126347253486,77.71842467180544,0.11877918243408203
2nn,10000,rosenbrock_func,0.0,5.0,0.0011504040750782208,413.90026202163506,44.06957780760945,47.64648846183952,0.3090696334838867
2nn,10000000,rosenbrock_func,0.0,5.0,8.771167399583938e-07,125.14414898055956,7.475477312970225,8.018716475761483,342.99504685401917
2nn,1000,rosenbrock_func,0.0,5.0,0.14946813141925924,395.35344821543316,79.58937189939697,82.81247293256305,0.07316017150878906
2nn,100000,rosenbrock_func,0.0,5.0,0.000934640390637919,301.69686516171396,24.33109637507035,26.350185278342046,3.0428833961486816
2nn,1000000,rosenbrock_func,0.0,5.0,1.9058906204861977e-05,222.6457767830262,13.456037942479274,14.57092834298967,30.743529081344604
2nn,100000,sphere_func,0,0,9.719230607555315e-07,0.09323770879257094,0.013766895265275792,0.0113977510466981,1.3876745700836182
2nn,1000000,sphere_func,0,0,1.1503748215447337e-08,0.05721793033143925,0.007564933338832172,0.006172872994828292,14.918254613876343
2nn,1000,sphere_func,0,0,0.0010629496918995482,0.24255586291808462,0.048129838474780896,0.041833604612641795,0.058417558670043945
