Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
1nn,10000000,rosenbrock_func,0.0,5.0,3.0272206427792853e-09,0.07940409216230848,0.005463875216048277,0.005610805037877406,144.52823543548584
1nn,10000,rosenbrock_func,0.0,5.0,1.7038021901359668e-05,0.2641991177631033,0.03819228544461294,0.0379184181033906,0.17863011360168457
1nn,1000000,rosenbrock_func,0.0,5.0,1.70815264146848e-08,0.13960774659778322,0.010216795437682936,0.010552787684389234,16.062776803970337
1nn,100000,rosenbrock_func,0.0,5.0,9.03215840544549e-07,0.22288111430267948,0.018300746286181536,0.018681197429324004,1.7903754711151123
1nn,1000,rosenbrock_func,0.0,5.0,9.684168776664254e-05,0.3486779064495344,0.06728896648207039,0.06413749441429961,0.08362889289855957
1nn,10000,sphere_func,0,0,1.4909107003413524e-05,0.179249949845015,0.03466634302991989,0.027149683137268905,0.11984658241271973
1nn,1000,sphere_func,0,0,0.00025343134798955225,0.3320181073868605,0.07538053414374844,0.0615305764368677,0.04713177680969238
1nn,100000,sphere_func,0,0,4.958429982826473e-06,0.10530880605205972,0.018085455695312034,0.014015698956391928,0.640556812286377
1nn,1000000,sphere_func,0,0,1.2089758028022146e-07,0.07431189539526084,0.00975946129787991,0.007543162874083199,7.729341268539429
1nn,10000000,sphere_func,0,0,1.8146806279872862e-09,0.04263335069223362,0.005498660468584631,0.0042350794266559095,78.10789728164673
1nn,1000,sphere_func,0.0,5.0,0.00012159583288096076,0.21109602207112915,0.0637916865937225,0.04639826253513967,0.051659345626831055
1nn,10000,sphere_func,0.0,5.0,1.3622424023695956e-05,0.22184046198644247,0.04508112829350268,0.034418501662407515,0.1385791301727295
1nn,1000000,sphere_func,0.0,5.0,4.287026908467162e-07,0.19036662771214372,0.0336894118703468,0.025405341351403127,7.087928056716919
1nn,100000,sphere_func,0.0,5.0,3.6618646725994353e-07,0.20898552745780868,0.03795345727584553,0.028599960014846375,0.745546817779541
1nn,10000000,sphere_func,0.0,5.0,3.8148678216387566e-08,0.17828943973555347,0.029618885406448102,0.022375081622261653,74.37639164924622
2nn,10000,rastrigin_func,0,0,0.00037601210035509425,0.42272770694614914,0.10514068777126365,0.07401714343553233,0.15781950950622559
2nn,100000,rastrigin_func,0,0,8.926767486316933e-07,0.3205978553923221,0.07238553844900845,0.05313806916243198,0.9757208824157715
2nn,1000,rastrigin_func,0,0,0.0022701727937717853,0.39442018453916905,0.11804125010933582,0.09010261691063573,0.07532668113708496
2nn,10000000,rastrigin_func,0,0,1.7328360191193326e-08,0.13181156913806077,0.021108122763832973,0.016271545790997346,126.62795305252075
2nn,1000000,rastrigin_func,0,0,3.952736882251173e-07,0.22012152032940407,0.038478125158486164,0.02923919816683373,12.922862768173218
