Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
1nn,100000,rosenbrock_func,0.0,5.0,0.09086312075028502,46410.39287842766,4820.445278128565,4984.884373222637,1.461287021636963
1nn,1000000,rosenbrock_func,0.0,5.0,0.005119230871059699,30287.42174244347,2719.1235219175096,2799.0513355940407,16.01637864112854
1nn,10000,sphere_func,0,0,0.00449823811001826,16.427801426682894,3.1649440343018225,2.5154354647950696,0.15101170539855957
1nn,100000,sphere_func,0,0,3.691590825383173e-05,10.345010978575857,1.8017836296875385,1.4055328964791085,0.6814606189727783
1nn,1000000,sphere_func,0,0,4.725856815213092e-06,8.13908021687324,1.007062244758607,0.7773996490883698,6.934589624404907
1nn,1000,sphere_func,0,0,0.09353344779700024,21.006857046543406,5.207742779890332,3.977432906715049,0.07063102722167969
1nn,10000000,sphere_func,0,0,2.698092069763902e-07,3.6985585909798715,0.5641126073826673,0.43432028322166405,87.66243553161621
1nn,10000,sphere_func,0.0,5.0,0.003183865326882085,24.543862074762416,5.299240686102482,4.032255640904326,0.10396838188171387
1nn,1000,sphere_func,0.0,5.0,0.05742898612661662,29.49786253575659,7.139821713755071,6.100818160478929,0.0766899585723877
1nn,100000,sphere_func,0.0,5.0,0.00037117885673865203,23.73708778377932,4.410039517559354,3.3526622941844266,0.6951076984405518
1nn,10000000,sphere_func,0.0,5.0,7.270688591631824e-06,23.926064713966728,4.033127486421807,3.0447624640202844,86.19890189170837
1nn,1000000,sphere_func,0.0,5.0,3.739343448216914e-06,25.476126739242424,4.107007780364385,3.097892273772437,7.441259384155273
2nn,1000,rastrigin_func,0,0,0.05914722374221526,48.26688716487622,14.811297899495575,11.122099755332753,0.09731292724609375
2nn,10000,rastrigin_func,0,0,0.009581605437688268,61.436383009620855,14.182171316228239,10.66378481785477,0.22965621948242188
2nn,100000,rastrigin_func,0,0,0.0010728795150143355,47.77928294001031,10.406344106870305,7.685176303318,1.0964782238006592
2nn,1000000,rastrigin_func,0,0,0.00011509382285623815,32.72764764539902,6.012886068913069,4.553078796250051,11.801867485046387
2nn,10000000,rastrigin_func,0,0,2.3776024704602605e-07,23.843019166268306,3.3451776549136847,2.5807513068707455,154.5579433441162
2nn,1000,rastrigin_func,0.0,5.0,0.1577386563141161,48.488781285037916,14.118983368715423,10.877836553345928,0.07084870338439941
2nn,10000,rastrigin_func,0.0,5.0,0.019934825054079397,55.01584266421317,14.352428616322252,10.65917912497921,0.15304875373840332
2nn,100000,rastrigin_func,0.0,5.0,0.002573554182362159,51.83246938715433,10.836435751731527,8.010165302783903,1.037710428237915
2nn,1000000,rastrigin_func,0.0,5.0,8.573445462900509e-05,41.548662308711755,6.642268590749529,5.017047717028783,12.381802082061768
2nn,10000000,rastrigin_func,0.0,5.0,7.696126587575236e-06,29.7377214651461,4.383383027692729,3.3297996317327447,145.6863853931427
2nn,1000,rosenbrock_func,0,0,34.56209234384587,72330.76274771306,12310.50054492306,13463.52441863683,0.08564138412475586
2nn,10000,rosenbrock_func,0,0,1.3504336188198067,62740.103429075796,7084.9285207994635,7608.691077004152,0.1745600700378418
2nn,100000,rosenbrock_func,0,0,0.031350987301266287,53929.56794276157,3939.3251283354157,4286.81394473785,1.2411046028137207
2nn,1000000,rosenbrock_func,0,0,0.0032268790528178215,31671.825996594736,2164.5830985487482,2334.238118397335,13.57283329963684
2nn,10000000,rosenbrock_func,0,0,0.00013969367276445155,19039.07165955144,1207.011991774423,1294.3908964407292,175.45913982391357
2nn,1000,rosenbrock_func,0.0,5.0,26.694685811758973,83813.80080095469,12258.512469592964,13913.698092222661,0.06354951858520508
2nn,1000000,rosenbrock_func,0.0,5.0,0.042454908963691196,29948.140200841066,2167.697970120825,2334.540246957316,16.014808416366577
2nn,10000,rosenbrock_func,0.0,5.0,0.1567173462399296,59397.91598780292,7013.913280791208,7663.70689783852,0.16062045097351074
2nn,100000,rosenbrock_func,0.0,5.0,0.08066036356603945,38142.52828797677,3890.144437534879,4153.688397233078,1.2727487087249756
2nn,10000000,rosenbrock_func,0.0,5.0,8.448814696748741e-05,20916.883314790728,1206.0759544476316,1292.3434096865874,187.0534098148346
2nn,1000,sphere_func,0,0,0.07017398614540582,23.89776446108117,4.676715751265854,4.250374232974506,0.061217546463012695
2nn,100000,sphere_func,0,0,0.00012003155281092859,10.734958017136549,1.4336770197335362,1.1931614579346816,0.6543364524841309
2nn,1000000,sphere_func,0,0,1.637771163132129e-08,7.24173118750798,0.7881683846500076,0.6440630585410315,8.76877236366272
2nn,10000,sphere_func,0,0,0.0034079776725945976,13.950680852658678,2.6556313615506117,2.292909788858597,0.20276355743408203
2nn,10000000,sphere_func,0,0,2.1231966940149505e-07,4.039298538520697,0.44162559710604177,0.3579589497739283,83.04667067527771
2nn,1000,sphere_func,0.0,5.0,0.10741978720655965,20.18700436109882,6.033889045450052,4.468360197339877,0.05236530303955078
2nn,100000,sphere_func,0.0,5.0,0.00032721791112066967,15.276618740302755,3.1748069884353507,2.406112615486976,1.0028862953186035
2nn,1000000,sphere_func,0.0,5.0,4.742727355733223e-05,15.733201570627262,2.9341483470308782,2.217507021272002,8.293544292449951
2nn,10000000,sphere_func,0.0,5.0,4.2074348982623633e-07,17.348332388057027,2.8580212307742654,2.1587032221933926,91.53650760650635
2nn,10000,sphere_func,0.0,5.0,0.0032938535791622314,20.440234540635966,3.757318269290468,2.984355705420678,0.11448240280151367
32nn,1000,rastrigin_func,0,0,0.02461912482884898,38.896994754686595,13.818798601404291,9.901305691740001,0.07738232612609863
32nn,10000,rastrigin_func,0,0,0.0010285086253958298,43.134424466279995,11.541188868844385,8.46284055758087,0.3096790313720703
32nn,100000,rastrigin_func,0,0,0.00012922914497437432,48.15172059365093,11.965579898147679,8.766286354523219,1.268834114074707
32nn,1000000,rastrigin_func,0,0,7.026987189817646e-05,33.99952805486174,8.099311948147317,5.8730112679285185,19.117361545562744
32nn,10000000,rastrigin_func,0,0,5.269425962239893e-06,16.29863663677072,3.4542985758589024,2.517995477625582,197.41171789169312
32nn,1000,rastrigin_func,0.0,5.0,0.12292197574783614,43.20654996557423,12.72720713107458,9.190919687006941,0.09450817108154297
32nn,10000,rastrigin_func,0.0,5.0,0.005378619705226129,44.47348057176446,11.69999648585176,8.54805373096957,0.18094134330749512
32nn,100000,rastrigin_func,0.0,5.0,0.0011627882454661176,45.81546306769949,12.118146106130352,8.70533024430443,1.7890536785125732
32nn,1000000,rastrigin_func,0.0,5.0,4.253365300144196e-05,33.66393947979139,8.147353802085446,5.9001426658914164,17.69868564605713
32nn,10000000,rastrigin_func,0.0,5.0,3.07151746881118e-06,17.52736070274844,3.526228090168966,2.5756641281533454,197.13213920593262
32nn,1000,rosenbrock_func,0,0,60.862734191412166,85456.63778612425,17804.72924633827,15791.17891117548,0.07881021499633789
32nn,10000,rosenbrock_func,0,0,2.6492332076086313,113201.20563414868,9338.924565799434,10811.746010420333,0.20644855499267578
32nn,100000,rosenbrock_func,0,0,0.09527171049103345,58316.373426704304,4099.497186167188,5287.80349690266,2.1112518310546875
32nn,1000000,rosenbrock_func,0,0,0.0032445624437968945,35752.55654587125,1789.8814661502547,2578.7030969147904,20.051163911819458
32nn,10000000,rosenbrock_func,0,0,8.892521964298794e-05,28484.951053682948,819.7814502129074,1224.815253819907,197.59507060050964
32nn,1000,rosenbrock_func,0.0,5.0,445.8979427661823,94346.45744717764,19055.597711644405,17698.96850239815,0.08365821838378906
32nn,10000,rosenbrock_func,0.0,5.0,30.182037310045416,73483.40375284212,8873.72317765965,9340.567082784435,0.20602965354919434
32nn,100000,rosenbrock_func,0.0,5.0,0.30510470556123437,60843.81331121933,4099.443111108006,5173.351240578415,1.9629786014556885
32nn,1000000,rosenbrock_func,0.0,5.0,0.009462009758863132,44302.29638799932,1799.3620762329506,2591.775604517029,19.672524213790894
32nn,10000000,rosenbrock_func,0.0,5.0,4.739273254017462e-05,23682.678413459507,817.9222426822081,1220.0418846665996,195.67696332931519
32nn,1000,sphere_func,0,0,0.018931135805785714,37.698739618582536,7.056795138491234,7.025647706283505,0.07492542266845703
32nn,10000,sphere_func,0,0,0.007232025163776967,32.42053745779857,2.9417648743503095,3.1457119513461036,0.11522197723388672
32nn,100000,sphere_func,0,0,4.2769590997693285e-05,17.590522477789488,1.2754018874920539,1.3709733608761552,1.0014936923980713
32nn,1000000,sphere_func,0,0,1.8719471412964594e-06,10.26683227579818,0.5630144220165484,0.6153426473328789,13.179324388504028
32nn,10000000,sphere_func,0,0,4.376196898192575e-07,6.800687324136192,0.2654856508501897,0.28089894925015,141.6293888092041
