Method,Data size,Data function,Noise mean,Noise std. deviation,Absolute error min,Absolute error max,Absolute error mean,Absolute error std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Normalized error min,Normalized error max,Normalized error mean,Normalized error std. deviation,Time elapsed
2nn,1000,rosenbrock_func,0,0,18.427179834155304,51721.50583350269,13014.810995778436,11905.457702518612,0.0008107513023042614,3.288532373612103,0.42767363573191136,0.5142769044247488,0.00010494634409263131,0.2957009119299415,0.07431113267634382,0.06799169998854594,0.06977653503417969
2nn,10000,rosenbrock_func,0,0,0.019269504118483383,49845.12637828697,7022.150098027943,7199.691594335425,1.413010929862616e-05,2.832420254133953,0.20571005075816046,0.2182440998174084,9.99721509430894e-08,0.25860159490495865,0.03643163027073954,0.037352733645189554,0.20455312728881836
2nn,100000,rosenbrock_func,0,0,0.5324530436128043,40442.95135034914,3925.6085980115577,4228.881680555517,1.3244193478232629e-05,3.934465997355928,0.11294507996352302,0.111893207197686,2.180283105692815e-06,0.16560537052285934,0.01607454067260633,0.017316380091525703,1.7890231609344482
2nn,1000000,rosenbrock_func,0,0,0.003197700419150351,25494.028472248523,2157.493908672231,2317.4038112810013,6.260433112723649e-08,3.2555328112771162,0.062056820038065244,0.060253736010562595,1.2554191846431656e-08,0.10008971524106688,0.008470334580052905,0.009098141857892933,14.42017388343811
2nn,10000000,rosenbrock_func,0,0,5.912396591156721e-05,19958.99027450409,1207.3618809723791,1293.3276128118162,7.98433557335533e-10,4.841512019962835,0.03452422315453245,0.03193602142244107,2.0673451381001784e-10,0.06978916395273836,0.004221695341427359,0.004522285525156418,146.29065871238708
2nn,1000,rosenbrock_func,0.0,5.0,35.62011431859719,61278.044509744985,12681.736044499557,13458.055637773872,0.0008595496133124798,6.419692739167138,0.45435269865298367,0.7021798062095553,0.0002391547763055927,0.4114230767507925,0.08514564888146339,0.090357887590485,0.06655025482177734
2nn,10000,rosenbrock_func,0.0,5.0,0.9233460992372784,64903.58320231248,7035.761982861797,7557.033073512272,0.00043404948750297835,2.1620057145323774,0.21720224665377302,0.21197778928418143,4.645267166407166e-06,0.3265238075743478,0.035396255160054464,0.0380187208684125,0.17024636268615723
2nn,100000,rosenbrock_func,0.0,5.0,0.01605869139530114,59223.824730202075,3923.978801579732,4284.6380727226,1.5743083851850235e-06,6.516604499928091,0.11630748053916215,0.13510688693765907,6.42169642237627e-08,0.23682964821197133,0.015691565402993015,0.017133802690069012,1.219702959060669
2nn,1000000,rosenbrock_func,0.0,5.0,0.0073094695017061895,27477.060048345476,2164.271757223411,2333.213139508566,3.761572704859159e-07,8.899800500042616,0.062015605139442945,0.06395782639845116,2.7532167514892755e-08,0.10349629612535227,0.00815204065817873,0.008788382657579186,16.705930948257446
2nn,10000000,rosenbrock_func,0.0,5.0,0.0005311940803949255,17429.80765512571,1206.8827624202202,1294.5731931468547,2.16164294289334e-08,6.762529850617675,0.03450916219588201,0.03268835663347181,1.9345420059083435e-09,0.06347716645990245,0.004395315170629901,0.00471467268611793,147.95411825180054
