Method,Data size,Data function,Noise mean,Noise std. deviation,Absolute error min,Absolute error max,Absolute error mean,Absolute error std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Normalized error min,Normalized error max,Normalized error mean,Normalized error std. deviation,Time elapsed
2nn,10000000,rastrigin_func,0.0,5.0,5.846422301836185e-08,0.16017748723165992,0.024488462326416074,0.01862286744033007,1.1558175376231182e-07,0.9842238865693508,0.05663191962120143,0.048140944884951416,6.684771546117981e-08,0.18314617961117624,0.027999991741341552,0.021293298353276167,159.88579392433167
2nn,10000,rosenbrock_func,0,0,1.5912882086672239e-06,0.23908567890731885,0.026682607192253044,0.02849856402791791,0.00014684560482100583,6.14334371439246,0.21268504784303494,0.26296508610647346,2.0864536189837825e-06,0.31348260942696987,0.03498550547724282,0.037366538461119876,0.29813480377197266
2nn,1000,rosenbrock_func,0,0,3.428210645610441e-05,0.4362611508363914,0.07625141533894918,0.08393494004185496,0.00047887747346816816,5.006907584824292,0.46728803796317975,0.644042525960505,3.222383917040978e-05,0.41006841802005234,0.07167334794740689,0.07889556063743895,0.07914161682128906
2nn,100000,rosenbrock_func,0,0,2.0164565323558398e-06,0.1608662490807334,0.01621131516406833,0.017567339410955923,4.8540441047280795e-05,2.160275147987175,0.11368792537575581,0.10836726488313475,1.938619432869269e-06,0.1546566620984146,0.01558554330586739,0.01688922375435537,1.4608519077301025
2nn,1000000,rosenbrock_func,0,0,2.603338645525144e-08,0.11333383036647984,0.0076889539229034205,0.008299763780228469,7.369685503688975e-07,21.867198797245376,0.06185400168500253,0.08065519790567297,2.6702251313422837e-08,0.11624566884375194,0.007886502984911515,0.00851300612321987,17.317626237869263
2nn,10000000,rosenbrock_func,0,0,3.4672521613803714e-10,0.06622470004100278,0.004403852360755487,0.004717262538501404,8.460963698714484e-09,6.716827199538287,0.03454467694109086,0.033072131385658385,3.398992137610283e-10,0.06492092996932561,0.004317153426604284,0.0046243934773484785,172.13063049316406
2nn,1000,rosenbrock_func,0.0,5.0,0.00019166658000678796,0.24573300886113722,0.056994768867321834,0.05365552891174842,0.0012182567384742223,4.982386143470833,0.46366133085122263,0.6722051989338014,0.00023653475117438576,0.30970520282557246,0.07142097201997862,0.06737315102765119,0.07067179679870605
2nn,10000,rosenbrock_func,0.0,5.0,1.4876927936824207e-05,0.24617040530466117,0.03713669692616888,0.03953850234248168,5.1698211417640426e-05,57.32099212009954,0.25689893501997174,1.5005042893403362,1.578986265033638e-05,0.26127685129918016,0.0394156203647345,0.0419648145127105,0.2432711124420166
2nn,100000,rosenbrock_func,0.0,5.0,6.341050092885988e-07,0.1721154566098594,0.015176168450252134,0.01654976408110656,2.09598875413966e-05,4.655030158487483,0.11374857492289533,0.12683783744559934,6.063772680759145e-07,0.16458930121024304,0.014512554592571388,0.01582608650586279,1.5733039379119873
2nn,1000000,rosenbrock_func,0.0,5.0,4.722997372971077e-09,0.1359692350792722,0.008089990968860924,0.008724624740507347,2.2858591288650336e-06,2.83199310487509,0.06208429532863051,0.058384583966667826,4.740261222000859e-09,0.136466239875535,0.008119562101705073,0.008756515633613403,15.573643207550049
2nn,10000000,rosenbrock_func,0.0,5.0,1.8643869781342914e-09,0.08788822982390454,0.004292912165176723,0.004603800436012133,1.908003647542237e-08,2.5382962177859354,0.034450632539836434,0.03134104228790866,1.8494146025541806e-09,0.08718242378608754,0.004258436976268373,0.004566828589484417,171.2133469581604
2nn,100000,sphere_func,0,0,1.1255077148053516e-07,0.1013223631772181,0.014143609073565513,0.01187823132618497,2.29309311933302e-07,0.8447493644761563,0.04612476218071499,0.04161749671711706,1.1647837945079206e-07,0.10485814099504431,0.01463716901095911,0.012292737912106928,0.6989855766296387
2nn,1000,sphere_func,0,0,0.0008248303516367739,0.21106829328880788,0.05616300319909713,0.04406174311185783,0.0032345754403115172,1.885391451481158,0.16527736846494417,0.18021455137443482,0.000984719857275565,0.25198289470108964,0.06704993867482743,0.05260290592159002,0.05131030082702637
2nn,10000,sphere_func,0,0,9.06004020480855e-05,0.17595111861329774,0.027401308158513167,0.022985116619467838,0.00031865807501209537,4.17077637659152,0.09449213878390493,0.1474179850892583,9.770846200433592e-05,0.18975537413755975,0.029551079427376108,0.024788415317258082,0.10591983795166016
2nn,1000000,sphere_func,0,0,7.798723014595943e-08,0.06338389598129912,0.00782029291488648,0.0063990935152628565,2.0791714627408202e-07,233.85210653397365,0.027677944207508555,0.6042992553037365,7.94018758189223e-08,0.06453364516482131,0.007962148748368978,0.006515169569449024,8.122010231018066
2nn,10000000,sphere_func,0,0,2.9882223362420746e-09,0.03655895512109453,0.004312830904398898,0.0034923921041019714,1.0397985853006513e-08,1.063753237088832,0.014478109453982887,0.012813869312945727,2.9656681306676947e-09,0.036283019097397354,0.004280278950802401,0.0034660325763965086,103.56721615791321
2nn,10000,sphere_func,0.0,5.0,4.258796826894784e-05,0.16865354953128442,0.037436864585655545,0.028417454046538677,6.830715840902233e-05,0.8027746186199385,0.10391800131205062,0.09172899675463032,5.16981737369921e-05,0.20473107451303535,0.045445171680768774,0.0344963738862399,0.10400199890136719
2nn,1000,sphere_func,0.0,5.0,0.0010017613779131906,0.2889425305478115,0.06463713557671905,0.05443159047356337,0.0025311458648746986,0.7640175303543002,0.1636516780371973,0.13862881915790123,0.001154784660500192,0.3330797227756922,0.07451073110659957,0.06274624587388149,0.04881095886230469
2nn,100000,sphere_func,0.0,5.0,2.607541297883209e-07,0.13685460810403516,0.02711618288815528,0.020455553348424495,5.338714871287626e-07,0.5224871479872801,0.07271720309331121,0.06219800937055002,3.1941694265648527e-07,0.16764329118978452,0.03321660999839167,0.025057514203915117,0.6888730525970459
2nn,10000000,sphere_func,0.0,5.0,1.1959349066614777e-09,0.1321676989028094,0.021324186138274165,0.016114037736601895,4.403715335952076e-09,0.631608087626324,0.0569554067272212,0.04859081536647387,1.5871623879033253e-09,0.1754038613856171,0.028299990244283757,0.021385440353258976,99.03280878067017
2nn,1000000,sphere_func,0.0,5.0,3.416851735993376e-07,0.1510729140816464,0.023138217515978696,0.017479733261526933,7.770229271224574e-07,0.5724285028856597,0.06116527373080126,0.05232616802369015,4.2989890316796785e-07,0.19007579222107143,0.02911186993160299,0.02199252041767153,8.435611724853516
32nn,1000,rastrigin_func,0,0,0.00011551395168007961,0.35167057102178506,0.10092879820317957,0.07119199223783303,0.0002125173313899115,2.5708707815422764,0.2621414839729218,0.36522939433843327,0.0001461150452069175,0.4448325127435829,0.1276661017794667,0.0900516432249747,0.08525609970092773
32nn,10000,rastrigin_func,0,0,0.0001763942870588453,0.3226416754757865,0.09072511855237426,0.06284407397547541,0.00038751966117481494,32.39240089563715,0.282665063833214,0.9683618234231666,0.00019268898459427183,0.3524462037394899,0.0991059929578105,0.06864939337894749,0.16564106941223145
