Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
1nn,100000,rosenbrock_func,0.0,5.0,2.8518961501046893e-05,3.374233452582545,0.14185146276227067,0.137004720769574,1.4630229473114014
1nn,10000000,rosenbrock_func,0.0,5.0,3.665130033317625e-09,4.4496951625855825,0.04407012601313486,0.039296121910934394,157.1418731212616
1nn,1000000,rosenbrock_func,0.0,5.0,7.807931279280438e-07,2.3380816465567595,0.07850577806938606,0.06995966417797143,16.107471466064453
1nn,1000,rosenbrock_func,0.0,5.0,0.006161689042962845,6.113978288214718,0.5320790939729501,0.6625433141104132,0.05737614631652832
1nn,1000,sphere_func,0,0,0.004963810920111822,1.2647541587456177,0.21323425948114522,0.1770622235804962,0.05501270294189453
1nn,10000,sphere_func,0,0,7.101980360389517e-05,1.3324333770420813,0.11033245361769764,0.10464227352030053,0.11775898933410645
1nn,100000,sphere_func,0,0,1.5338206292016745e-06,0.9948413765273971,0.059350349754058396,0.04991599041303908,0.7365458011627197
1nn,1000000,sphere_func,0,0,1.233006583704848e-07,1.124871158096081,0.03295240301886505,0.02797660381462741,6.558926820755005
1nn,10000000,sphere_func,0,0,5.0235812806187154e-09,1.1335268486603425,0.01850872939263978,0.015703775927522454,84.48221850395203
1nn,10000000,sphere_func,0.0,5.0,7.109448732319341e-08,131.8701957434098,0.16406862929990745,0.3891478811050394,84.15605115890503
1nn,100000,sphere_func,0.0,5.0,2.3418767412997764e-05,15.05002209084557,0.17328080369023355,0.29425260360949557,0.761054515838623
1nn,10000,sphere_func,0.0,5.0,0.00011494229769392486,8.279287020295254,0.18830001932195703,0.28953634404669787,0.10171651840209961
1nn,1000000,sphere_func,0.0,5.0,4.264721839581103e-06,22.359067018451004,0.165953915543902,0.30792329812986097,7.133660078048706
1nn,1000,sphere_func,0.0,5.0,0.0015821807206540992,2.409637503150297,0.24620699291256215,0.28475248681688964,0.051177263259887695
2nn,1000000,rastrigin_func,0,0,6.32571682762654e-07,2.320860170059777,0.09039541169275299,0.08430888166943848,14.504778623580933
2nn,10000000,rastrigin_func,0,0,2.2546223807186734e-08,1.9156670304816177,0.049627347457360416,0.04504059313456623,129.11966395378113
2nn,10000,rastrigin_func,0,0,0.00022649107983530953,2.2148424622646727,0.2235338916081493,0.2233228685237763,0.15751290321350098
2nn,100000,rastrigin_func,0,0,3.3608811502459596e-06,4.046566980923445,0.15979283392084498,0.15437069084549296,0.9716603755950928
2nn,1000,rastrigin_func,0,0,0.001797266672580914,1.7036842663578617,0.22764123599387737,0.2287097197847298,0.07800126075744629
2nn,100000,rastrigin_func,0.0,5.0,2.789953486722411e-05,3.372151903403018,0.1663994520568761,0.16525208646395892,1.234666347503662
2nn,1000000,rastrigin_func,0.0,5.0,5.713621267995207e-09,3.6136403541364195,0.09957473927485519,0.0931366947288654,14.263285160064697
2nn,1000,rastrigin_func,0.0,5.0,0.003053283656202427,1.5102572748109497,0.2602359802037123,0.2536410153715413,0.061086177825927734
2nn,10000000,rastrigin_func,0.0,5.0,1.1664895405177634e-07,2.5457441661568785,0.06505859183344555,0.05833765180731994,124.05386686325073
2nn,10000,rastrigin_func,0.0,5.0,0.0005076504991985037,2.0032011285420945,0.2199584191375788,0.21178035087068903,0.15770816802978516
2nn,1000000,rosenbrock_func,0,0,1.3681644462913125e-06,24.287984863929967,0.062428265622110644,0.08624063137112059,13.051923036575317
2nn,10000,rosenbrock_func,0,0,0.00013509604357834075,6.516733799084532,0.21598520689552542,0.2605173791570366,0.23320364952087402
2nn,1000,rosenbrock_func,0,0,0.005446444655825666,4.288448290795577,0.4134866358157826,0.5120090846318647,0.06340527534484863
2nn,10000000,rosenbrock_func,0,0,2.416985276793961e-09,3.1945182180410394,0.034568932894729405,0.032129412459153336,169.8459553718567
2nn,100000,rosenbrock_func,0,0,9.47704804434665e-06,6.580228922771454,0.11345184142486484,0.11826973347918965,1.6036052703857422
2nn,10000,rosenbrock_func,0.0,5.0,0.00023140114083129492,6.758380136953219,0.22568223229559775,0.30405203719205776,0.17291784286499023
2nn,1000000,rosenbrock_func,0.0,5.0,3.7081389672972e-07,2.909830154526539,0.06221301023440941,0.05808461653877357,14.50898551940918
2nn,10000000,rosenbrock_func,0.0,5.0,3.895785082797398e-08,5.862420264927082,0.03453734954360328,0.03231774428763654,173.42291140556335
2nn,100000,rosenbrock_func,0.0,5.0,2.5204379033096507e-06,6.239740463044717,0.11291350659420082,0.12073446288130427,1.5560376644134521
2nn,1000,rosenbrock_func,0.0,5.0,0.003980625626875277,2.4349368959,0.34480113018586295,0.3346259961453194,0.08041930198669434
2nn,1000000,sphere_func,0,0,3.163048917315382e-07,0.575191194387754,0.025807874626756246,0.022698407594421887,8.627614736557007
2nn,10000,sphere_func,0,0,1.953521177872443e-05,0.8323033751095028,0.08578655409669515,0.0804824592945511,0.10194683074951172
2nn,10000000,sphere_func,0,0,4.31381137475365e-09,0.7234712215341706,0.014466740416253152,0.012764502054950343,81.13480472564697
2nn,1000,sphere_func,0,0,0.002579277497850988,0.6194807767870962,0.13660732560465033,0.11574578047646575,0.08415937423706055
2nn,100000,sphere_func,0,0,4.251874760909357e-06,1.2113691161400786,0.04647719630620615,0.04298247893522973,0.6280500888824463
2nn,100000,sphere_func,0.0,5.0,1.6605163155499709e-06,13.783873281297357,0.1221662171396061,0.20822720124718358,0.6409947872161865
2nn,1000000,sphere_func,0.0,5.0,2.8428009739988895e-07,33.62066970863844,0.11747950724951725,0.237219180943761,8.429661989212036
2nn,10000000,sphere_func,0.0,5.0,1.4484724527063827e-07,116.15732967737192,0.11632259384269947,0.2676520126769964,84.09744596481323
2nn,1000,sphere_func,0.0,5.0,0.0003615983533023477,1.3574505464125277,0.20307902952178264,0.19805832809340163,0.04802250862121582
2nn,10000,sphere_func,0.0,5.0,4.193283027896181e-05,1.262046651968116,0.13186320427050877,0.13343683366817574,0.09835338592529297
32nn,1000,rastrigin_func,0,0,0.0021709461063255144,0.9408076564566681,0.19085663984651732,0.17462659889840473,0.06378674507141113
32nn,10000,rastrigin_func,0,0,0.0001362135506605693,1.933309471685321,0.18977199856140672,0.19754708906299975,0.18652749061584473
32nn,100000,rastrigin_func,0,0,2.1595357347976448e-05,3.1994885650575213,0.1880617760240166,0.2005868154612585,1.472639560699463
32nn,1000000,rastrigin_func,0,0,3.4256223429602867e-07,9.678530253542933,0.12611700206317436,0.1417932790651968,17.736690521240234
32nn,10000000,rastrigin_func,0,0,2.895823868726899e-07,4.229317889940305,0.05327120407502679,0.05608165165714392,179.41812586784363
32nn,1000,rastrigin_func,0.0,5.0,0.0020285351578498974,0.9849566654702271,0.19195737404943625,0.16902134324092238,0.06653141975402832
32nn,10000,rastrigin_func,0.0,5.0,4.936202185102223e-05,2.1318588445895905,0.18098644805952555,0.1875048459658812,0.19133996963500977
32nn,100000,rastrigin_func,0.0,5.0,1.0497727301512304e-07,5.661062914667659,0.19039207814275663,0.21681735563713095,1.7042310237884521
32nn,1000000,rastrigin_func,0.0,5.0,1.631142708553439e-06,4.2144818783465885,0.1261250285924233,0.13319875902836784,16.061118602752686
32nn,10000000,rastrigin_func,0.0,5.0,3.6645377049460536e-08,3.1688738685585416,0.054283443695719066,0.05717366614235199,171.47613406181335
32nn,10000,rosenbrock_func,0,0,0.00020696482064096183,9.40747851426512,0.31614247402813644,0.47122102730830545,0.20123887062072754
32nn,1000,rosenbrock_func,0,0,0.002711633397698448,9.550008434479452,0.8595936843355305,1.3567976236034176,0.0667273998260498
32nn,10000000,rosenbrock_func,0,0,2.4675525702538476e-08,15.521324264523738,0.021082789202779107,0.03303953827987483,192.14282059669495
32nn,1000000,rosenbrock_func,0,0,4.9241200383562454e-08,27.829829247100058,0.04768079808119684,0.09708801720573777,28.157774209976196
32nn,100000,rosenbrock_func,0,0,1.5312286206676474e-06,12.217721460135982,0.12161582104135951,0.2050767704438558,1.6420044898986816
32nn,1000,rosenbrock_func,0.0,5.0,0.006761672628866311,117.10495423024221,1.5560298425169583,9.555086703782406,0.05975461006164551
32nn,100000,rosenbrock_func,0.0,5.0,5.275528865710701e-07,8.692648925789188,0.12129869446902988,0.17759627174516604,1.5203204154968262
32nn,1000000,rosenbrock_func,0.0,5.0,1.512709024449494e-08,20.609787873396385,0.048348092939875846,0.10041557905939438,18.89756417274475
32nn,10000,rosenbrock_func,0.0,5.0,0.0003466833612721284,19.527354483607702,0.35036805406767424,0.7482905225241049,0.31162261962890625
32nn,10000000,rosenbrock_func,0.0,5.0,8.468653684636789e-10,10.52317541212704,0.02106236621814231,0.031699038872415146,264.70904541015625
